day type name,day part name,value,,difference
M - Su,3am - 4am,,35,35
M - Su,4am - 5am,11,97,86
M - Su,5am - 6am,91,20,-71
M - Su,6am - 7am,22,46,24
M - Su,7am - 8am,30,39,9
M - Su,8am - 9am,38,75,37
M - Su,9am - 10am,56,109,53
M - Su,10am - 11am,81,138,57
M - Su,11am - 12pm,89,141,52
M - Su,12pm - 1pm,96,141,45
M - Su,1pm - 2pm,101,128,27
M - Su,2pm - 3pm,114,154,40
M - Su,3pm - 4pm,116,111,-5
M - Su,4pm - 5pm,94,99,5
M - Su,5pm - 6pm,79,72,-7
M - Su,6pm - 7pm,54,61,7
M - Su,7pm - 8pm,69,80,11
M - Su,8pm - 9pm,48,13,-35
M - Su,9pm - 10pm,10,4,-6
M - Su,10pm - 11pm,4,6,2