Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),0: All Day (12am-12am),2437,2749,2829,16.3,16.4,18,18,3.274,0.023,0.142,0.219,0.185,0.129,0.083,0.052,0.040,0.030,0.021,0.017,0.012,0.010,0.006,0.003,0.028,0.026,0.029,0.115,0.405,0.231,0.084,0.028,0.016,0.023,0.013,0.006,0.003,0.002,0.019,0.156,0.511,0.239,0.073,0.017,0.004,0.000,0.000,0.248,0.413,0.144,0.097,0.042,0.056
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),1: Early AM (12am-6am),265,2340,2356,15.7,15.8,20,20,2.487,0.013,0.130,0.320,0.229,0.136,0.060,0.033,0.013,0.016,0.011,0.009,0.003,0.007,0.004,0.003,0.013,0.018,0.013,0.036,0.519,0.247,0.064,0.030,0.020,0.019,0.010,0.006,0.002,0.002,0.014,0.080,0.490,0.267,0.130,0.024,0.008,0.001,0.000,0.354,0.532,0.069,0.019,0.008,0.018
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),2: Peak AM (6am-10am),292,2936,3012,18.8,18.9,18,18,2.954,0.012,0.117,0.222,0.196,0.146,0.068,0.046,0.056,0.029,0.027,0.018,0.011,0.011,0.006,0.002,0.033,0.023,0.036,0.067,0.468,0.200,0.079,0.029,0.012,0.033,0.015,0.002,0.003,0.003,0.030,0.178,0.478,0.223,0.076,0.036,0.009,0.000,0.000,0.261,0.497,0.141,0.058,0.011,0.032
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),1208,2963,3024,17.7,17.7,17,17,3.265,0.025,0.152,0.186,0.165,0.121,0.092,0.060,0.042,0.035,0.022,0.024,0.016,0.011,0.009,0.005,0.035,0.035,0.033,0.138,0.348,0.225,0.089,0.028,0.020,0.027,0.016,0.008,0.005,0.004,0.024,0.175,0.506,0.228,0.072,0.016,0.003,0.000,0.000,0.280,0.340,0.155,0.118,0.047,0.060
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),510,2667,2786,14.6,15.0,17,17,3.604,0.034,0.149,0.203,0.178,0.135,0.085,0.059,0.040,0.025,0.019,0.016,0.012,0.010,0.004,0.003,0.028,0.023,0.030,0.150,0.383,0.234,0.088,0.025,0.011,0.020,0.012,0.005,0.003,0.001,0.015,0.167,0.525,0.242,0.052,0.012,0.002,0.000,0.000,0.169,0.393,0.171,0.136,0.064,0.067
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,0: All Days (M-Su),5: Late PM (7pm-12am),162,2564,2674,13.4,13.8,17,17,3.887,0.008,0.121,0.254,0.207,0.128,0.085,0.032,0.052,0.042,0.029,0.008,0.006,0.006,0.005,0.001,0.016,0.010,0.028,0.085,0.469,0.245,0.087,0.030,0.011,0.014,0.010,0.004,0.000,0.001,0.006,0.140,0.557,0.246,0.048,0.006,0.003,0.000,0.000,0.155,0.519,0.139,0.057,0.042,0.088
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),0: All Day (12am-12am),2114,2608,2684,14.6,14.8,17,17,3.293,0.023,0.149,0.224,0.193,0.132,0.083,0.051,0.037,0.027,0.018,0.015,0.010,0.008,0.005,0.003,0.022,0.025,0.030,0.121,0.421,0.231,0.077,0.026,0.017,0.017,0.011,0.005,0.003,0.002,0.014,0.158,0.527,0.230,0.070,0.014,0.001,0.000,0.000,0.237,0.418,0.148,0.100,0.041,0.056
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),1: Early AM (12am-6am),190,2208,2233,14.0,14.2,20,20,2.421,0.008,0.128,0.317,0.249,0.149,0.047,0.033,0.018,0.016,0.011,0.005,0.003,0.005,0.002,0.002,0.007,0.018,0.013,0.036,0.526,0.249,0.059,0.034,0.026,0.015,0.011,0.003,0.002,0.000,0.008,0.090,0.494,0.257,0.131,0.023,0.005,0.000,0.000,0.357,0.533,0.067,0.015,0.010,0.018
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),273,2728,2807,15.8,16.1,18,18,2.887,0.003,0.131,0.223,0.221,0.164,0.067,0.030,0.044,0.030,0.023,0.017,0.007,0.003,0.003,0.000,0.034,0.013,0.037,0.067,0.490,0.228,0.067,0.023,0.007,0.027,0.007,0.000,0.000,0.007,0.027,0.138,0.527,0.235,0.077,0.023,0.000,0.000,0.000,0.235,0.520,0.158,0.050,0.007,0.030
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1092,2864,2900,16.3,16.3,17,17,3.259,0.027,0.159,0.194,0.168,0.119,0.088,0.062,0.044,0.032,0.019,0.021,0.013,0.011,0.008,0.005,0.030,0.035,0.035,0.152,0.360,0.220,0.079,0.026,0.020,0.021,0.015,0.009,0.006,0.004,0.018,0.181,0.524,0.210,0.070,0.014,0.001,0.000,0.000,0.275,0.341,0.158,0.123,0.051,0.052
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),425,2487,2612,12.8,13.4,17,17,3.657,0.037,0.159,0.202,0.185,0.134,0.098,0.058,0.034,0.018,0.019,0.014,0.011,0.007,0.002,0.002,0.020,0.023,0.034,0.150,0.411,0.226,0.085,0.022,0.010,0.014,0.007,0.004,0.002,0.001,0.011,0.170,0.533,0.243,0.042,0.010,0.002,0.000,0.000,0.150,0.396,0.183,0.141,0.057,0.073
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),134,2382,2536,11.9,12.5,17,17,4.035,0.002,0.129,0.257,0.219,0.139,0.092,0.032,0.039,0.044,0.023,0.009,0.002,0.002,0.002,0.000,0.009,0.009,0.023,0.085,0.478,0.268,0.085,0.023,0.012,0.007,0.005,0.000,0.000,0.000,0.005,0.143,0.568,0.238,0.046,0.005,0.000,0.000,0.000,0.136,0.550,0.125,0.060,0.032,0.097
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3129,2999,3076,18.9,19.0,18,18,3.260,0.020,0.128,0.209,0.169,0.130,0.086,0.057,0.045,0.033,0.025,0.020,0.015,0.011,0.010,0.004,0.038,0.028,0.027,0.102,0.383,0.226,0.095,0.028,0.017,0.034,0.019,0.009,0.004,0.002,0.026,0.158,0.487,0.240,0.087,0.021,0.007,0.000,0.000,0.269,0.406,0.135,0.091,0.044,0.055
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),441,2592,2596,18.6,18.5,21,21,2.505,0.017,0.119,0.316,0.212,0.131,0.062,0.038,0.010,0.019,0.010,0.017,0.005,0.010,0.010,0.005,0.019,0.021,0.014,0.031,0.500,0.246,0.069,0.026,0.019,0.026,0.007,0.012,0.000,0.005,0.024,0.081,0.485,0.248,0.143,0.031,0.012,0.000,0.000,0.346,0.534,0.069,0.024,0.010,0.017
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),397,3127,3204,21.5,21.6,19,19,3.089,0.019,0.126,0.218,0.145,0.137,0.065,0.073,0.073,0.019,0.034,0.019,0.019,0.015,0.004,0.000,0.034,0.034,0.042,0.061,0.445,0.172,0.088,0.031,0.023,0.046,0.015,0.004,0.008,0.000,0.031,0.225,0.424,0.210,0.080,0.046,0.015,0.000,0.000,0.290,0.473,0.145,0.050,0.011,0.031
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1443,3177,3253,20.0,20.1,18,18,3.244,0.021,0.129,0.182,0.152,0.125,0.105,0.063,0.043,0.036,0.026,0.025,0.020,0.010,0.012,0.005,0.046,0.037,0.028,0.119,0.325,0.235,0.105,0.025,0.020,0.036,0.020,0.009,0.006,0.003,0.032,0.176,0.469,0.243,0.087,0.018,0.007,0.000,0.000,0.296,0.335,0.148,0.110,0.044,0.067
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),628,3003,3112,17.9,18.1,18,18,3.593,0.025,0.132,0.179,0.168,0.140,0.080,0.066,0.051,0.038,0.023,0.018,0.014,0.012,0.007,0.003,0.044,0.019,0.025,0.137,0.353,0.236,0.096,0.033,0.014,0.032,0.023,0.007,0.001,0.001,0.023,0.151,0.518,0.239,0.070,0.018,0.003,0.001,0.000,0.209,0.391,0.136,0.130,0.071,0.063
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),221,2770,2825,14.2,14.5,16,17,3.809,0.012,0.127,0.230,0.203,0.116,0.080,0.020,0.068,0.044,0.036,0.004,0.012,0.012,0.012,0.000,0.024,0.016,0.040,0.084,0.481,0.179,0.100,0.028,0.004,0.028,0.024,0.012,0.000,0.000,0.004,0.151,0.550,0.247,0.048,0.004,0.000,0.000,0.000,0.167,0.494,0.175,0.044,0.052,0.068
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),0: All Day (12am-12am),2467,2785,2862,16.0,16.2,17,17,3.246,0.021,0.133,0.213,0.188,0.133,0.086,0.055,0.042,0.030,0.022,0.017,0.011,0.011,0.006,0.004,0.028,0.031,0.033,0.113,0.404,0.225,0.084,0.027,0.016,0.023,0.013,0.006,0.003,0.003,0.019,0.180,0.502,0.229,0.069,0.016,0.004,0.000,0.000,0.252,0.411,0.145,0.095,0.043,0.054
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),1: Early AM (12am-6am),222,2351,2369,15.3,15.4,20,20,2.503,0.012,0.129,0.309,0.230,0.146,0.057,0.035,0.016,0.017,0.011,0.009,0.003,0.007,0.004,0.002,0.013,0.021,0.013,0.039,0.513,0.250,0.062,0.030,0.019,0.018,0.011,0.006,0.002,0.001,0.015,0.095,0.484,0.266,0.124,0.023,0.007,0.001,0.000,0.348,0.531,0.074,0.018,0.013,0.016
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),2: Peak AM (6am-10am),260,2947,3026,17.9,18.1,17,17,2.949,0.010,0.106,0.221,0.198,0.147,0.076,0.051,0.061,0.026,0.025,0.015,0.010,0.012,0.008,0.004,0.030,0.033,0.033,0.059,0.479,0.197,0.076,0.028,0.014,0.033,0.015,0.001,0.003,0.003,0.026,0.209,0.468,0.216,0.067,0.032,0.008,0.000,0.000,0.268,0.480,0.144,0.063,0.012,0.033
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),1295,2993,3050,17.4,17.4,17,17,3.242,0.024,0.142,0.184,0.170,0.123,0.093,0.064,0.044,0.034,0.024,0.023,0.015,0.012,0.008,0.005,0.035,0.042,0.040,0.138,0.348,0.217,0.086,0.028,0.020,0.026,0.015,0.007,0.005,0.004,0.024,0.202,0.494,0.217,0.068,0.015,0.004,0.000,0.000,0.283,0.338,0.157,0.116,0.048,0.058
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),534,2703,2819,14.4,14.9,17,17,3.548,0.029,0.138,0.199,0.186,0.136,0.091,0.058,0.042,0.027,0.019,0.015,0.012,0.012,0.004,0.004,0.028,0.026,0.033,0.145,0.388,0.226,0.091,0.024,0.011,0.019,0.012,0.005,0.003,0.001,0.016,0.187,0.520,0.231,0.048,0.012,0.002,0.000,0.000,0.180,0.396,0.168,0.129,0.062,0.065
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),5: Late PM (7pm-12am),156,2655,2751,13.7,14.0,17,17,3.768,0.006,0.114,0.245,0.199,0.133,0.090,0.038,0.054,0.044,0.031,0.010,0.007,0.007,0.005,0.001,0.016,0.009,0.029,0.079,0.470,0.242,0.091,0.029,0.013,0.015,0.010,0.005,0.000,0.001,0.007,0.159,0.548,0.234,0.051,0.006,0.002,0.000,0.000,0.166,0.521,0.140,0.051,0.039,0.083
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,1: Weekday (M-Th),0: All Day (12am-12am),2284,2647,2727,14.3,14.6,17,17,3.271,0.021,0.138,0.219,0.196,0.136,0.086,0.055,0.039,0.028,0.020,0.015,0.009,0.009,0.005,0.003,0.021,0.028,0.034,0.119,0.422,0.226,0.078,0.026,0.017,0.017,0.010,0.005,0.002,0.002,0.014,0.181,0.520,0.220,0.065,0.012,0.002,0.000,0.000,0.240,0.417,0.149,0.097,0.042,0.055
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,1: Weekday (M-Th),1: Early AM (12am-6am),190,2230,2261,13.8,14.1,20,20,2.451,0.008,0.123,0.309,0.250,0.155,0.048,0.034,0.021,0.018,0.011,0.005,0.003,0.005,0.002,0.002,0.006,0.018,0.013,0.038,0.529,0.248,0.058,0.034,0.024,0.014,0.011,0.003,0.002,0.000,0.008,0.104,0.491,0.256,0.122,0.022,0.005,0.000,0.000,0.351,0.530,0.069,0.014,0.018,0.018
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),281,2757,2862,15.2,15.7,17,17,2.929,0.003,0.114,0.219,0.218,0.163,0.071,0.043,0.055,0.028,0.022,0.012,0.006,0.009,0.006,0.000,0.031,0.018,0.034,0.055,0.498,0.231,0.065,0.025,0.009,0.028,0.009,0.000,0.000,0.006,0.022,0.166,0.514,0.234,0.068,0.018,0.000,0.000,0.000,0.237,0.499,0.160,0.055,0.012,0.037
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1228,2896,2937,15.9,16.0,16,16,3.245,0.027,0.147,0.190,0.173,0.122,0.087,0.066,0.045,0.032,0.022,0.020,0.013,0.013,0.008,0.005,0.030,0.041,0.044,0.151,0.358,0.213,0.077,0.027,0.020,0.021,0.013,0.008,0.004,0.004,0.019,0.211,0.512,0.197,0.066,0.012,0.002,0.000,0.000,0.275,0.341,0.164,0.120,0.050,0.050
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),439,2510,2639,12.5,13.2,16,16,3.610,0.033,0.147,0.204,0.192,0.135,0.104,0.058,0.030,0.021,0.019,0.013,0.010,0.010,0.002,0.003,0.019,0.025,0.034,0.146,0.423,0.216,0.088,0.023,0.010,0.012,0.007,0.003,0.002,0.001,0.010,0.184,0.533,0.234,0.039,0.008,0.002,0.000,0.000,0.157,0.405,0.176,0.134,0.055,0.073
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),147,2506,2630,12.3,12.8,17,17,3.845,0.000,0.118,0.241,0.206,0.145,0.100,0.043,0.047,0.047,0.027,0.012,0.002,0.002,0.002,0.000,0.008,0.008,0.020,0.080,0.483,0.263,0.090,0.024,0.014,0.010,0.004,0.000,0.000,0.000,0.004,0.163,0.562,0.222,0.049,0.004,0.000,0.000,0.000,0.159,0.545,0.124,0.053,0.031,0.088
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2879,3038,3106,18.7,18.8,18,18,3.234,0.019,0.122,0.203,0.174,0.132,0.087,0.059,0.048,0.033,0.024,0.020,0.015,0.012,0.009,0.004,0.039,0.035,0.031,0.099,0.382,0.220,0.095,0.027,0.017,0.033,0.019,0.008,0.004,0.003,0.027,0.181,0.474,0.234,0.083,0.021,0.007,0.000,0.000,0.275,0.399,0.138,0.090,0.045,0.053
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),292,2569,2574,17.7,17.6,20,20,2.517,0.016,0.122,0.300,0.217,0.145,0.055,0.041,0.012,0.018,0.009,0.016,0.005,0.009,0.009,0.005,0.021,0.030,0.014,0.030,0.494,0.251,0.065,0.025,0.018,0.025,0.009,0.012,0.000,0.002,0.025,0.092,0.477,0.253,0.138,0.028,0.012,0.000,0.000,0.336,0.537,0.076,0.025,0.012,0.014
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),258,3135,3200,20.8,20.8,18,18,3.053,0.018,0.124,0.208,0.156,0.135,0.071,0.074,0.071,0.018,0.032,0.018,0.018,0.014,0.007,0.004,0.032,0.050,0.035,0.064,0.451,0.163,0.085,0.028,0.025,0.046,0.014,0.004,0.007,0.000,0.028,0.252,0.411,0.206,0.074,0.043,0.014,0.000,0.000,0.305,0.454,0.149,0.053,0.011,0.028
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1468,3217,3281,19.9,20.0,18,18,3.216,0.019,0.121,0.179,0.155,0.124,0.104,0.069,0.047,0.035,0.028,0.025,0.019,0.012,0.011,0.006,0.046,0.043,0.033,0.115,0.325,0.226,0.105,0.026,0.020,0.035,0.020,0.008,0.007,0.004,0.033,0.197,0.455,0.239,0.083,0.018,0.008,0.000,0.000,0.305,0.329,0.147,0.109,0.047,0.063
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),688,3060,3157,18.0,18.2,17,17,3.546,0.023,0.123,0.175,0.174,0.141,0.086,0.061,0.056,0.040,0.020,0.018,0.014,0.014,0.006,0.004,0.045,0.026,0.031,0.133,0.350,0.229,0.098,0.031,0.013,0.031,0.022,0.006,0.001,0.003,0.026,0.182,0.501,0.228,0.065,0.019,0.004,0.001,0.000,0.223,0.377,0.141,0.124,0.072,0.063
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),173,2885,2930,15.0,15.2,16,16,3.766,0.012,0.119,0.222,0.208,0.119,0.081,0.015,0.065,0.046,0.038,0.008,0.012,0.012,0.012,0.000,0.031,0.015,0.046,0.081,0.481,0.169,0.104,0.027,0.004,0.027,0.023,0.015,0.000,0.000,0.008,0.173,0.538,0.235,0.046,0.008,0.000,0.000,0.000,0.165,0.501,0.177,0.042,0.050,0.065
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,0: All Days (M-Su),0: All Day (12am-12am),2422,2784,2863,16.0,16.2,17,17,3.251,0.020,0.133,0.213,0.188,0.133,0.087,0.055,0.042,0.031,0.022,0.017,0.011,0.011,0.006,0.004,0.027,0.032,0.033,0.112,0.406,0.224,0.083,0.028,0.016,0.023,0.013,0.006,0.003,0.002,0.019,0.181,0.504,0.227,0.068,0.016,0.004,0.000,0.000,0.251,0.412,0.145,0.095,0.043,0.054
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,0: All Days (M-Su),1: Early AM (12am-6am),216,2374,2387,15.6,15.7,20,20,2.493,0.013,0.129,0.308,0.228,0.144,0.058,0.036,0.016,0.018,0.011,0.009,0.003,0.007,0.004,0.003,0.013,0.022,0.013,0.038,0.517,0.249,0.060,0.029,0.018,0.019,0.011,0.006,0.002,0.001,0.015,0.095,0.484,0.266,0.123,0.023,0.008,0.001,0.000,0.348,0.532,0.074,0.019,0.013,0.014
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,0: All Days (M-Su),2: Peak AM (6am-10am),254,2943,3026,17.8,18.0,17,17,2.961,0.010,0.106,0.221,0.201,0.145,0.074,0.050,0.060,0.027,0.024,0.017,0.011,0.013,0.008,0.004,0.029,0.038,0.034,0.060,0.479,0.194,0.074,0.028,0.014,0.032,0.015,0.001,0.003,0.003,0.025,0.216,0.470,0.208,0.066,0.032,0.008,0.000,0.000,0.267,0.478,0.145,0.061,0.015,0.034
