Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1886,0.137,0.132,0.124,0.183,0.135,0.098,0.060,0.064,0.067,0.096,0.280,0.252,0.219,0.153,0.857,0.040,0.004,0.058,0.000,0.022,0.019,0.068,0.315,0.685,0.127,0.244,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),6,0.161,0.174,0.078,0.235,0.054,0.116,0.046,0.038,0.098,0.050,0.274,0.201,0.191,0.284,0.888,0.027,0.005,0.044,0.000,0.015,0.021,0.034,0.164,0.836,0.052,0.138,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),53,0.124,0.127,0.107,0.160,0.125,0.101,0.075,0.078,0.103,0.097,0.231,0.221,0.257,0.194,0.842,0.056,0.003,0.057,0.000,0.024,0.018,0.117,0.341,0.659,0.144,0.256,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),90,0.110,0.115,0.106,0.184,0.126,0.117,0.068,0.075,0.099,0.069,0.234,0.246,0.261,0.190,0.849,0.044,0.003,0.076,0.000,0.013,0.015,0.047,0.319,0.681,0.121,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),82,0.133,0.154,0.133,0.208,0.160,0.084,0.046,0.049,0.033,0.085,0.309,0.246,0.218,0.142,0.818,0.077,0.003,0.053,0.000,0.023,0.026,0.082,0.324,0.676,0.155,0.231,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),28,0.151,0.107,0.109,0.206,0.130,0.110,0.052,0.066,0.069,0.090,0.251,0.223,0.219,0.217,0.874,0.039,0.002,0.046,0.000,0.019,0.020,0.049,0.266,0.734,0.117,0.195,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),37,0.143,0.153,0.119,0.218,0.116,0.084,0.061,0.063,0.043,0.124,0.307,0.256,0.193,0.120,0.917,0.026,0.002,0.026,0.000,0.015,0.014,0.053,0.295,0.705,0.118,0.233,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),82,0.132,0.130,0.129,0.183,0.137,0.104,0.064,0.067,0.054,0.112,0.305,0.265,0.210,0.108,0.833,0.040,0.003,0.078,0.000,0.022,0.024,0.063,0.315,0.685,0.123,0.242,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),149,0.140,0.110,0.119,0.173,0.136,0.105,0.068,0.077,0.072,0.106,0.269,0.236,0.227,0.162,0.829,0.037,0.006,0.073,0.001,0.032,0.022,0.094,0.330,0.670,0.128,0.256,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),230,0.125,0.137,0.124,0.184,0.146,0.097,0.067,0.063,0.057,0.089,0.288,0.258,0.222,0.143,0.905,0.024,0.003,0.035,0.000,0.017,0.016,0.055,0.312,0.688,0.121,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),178,0.119,0.117,0.132,0.183,0.135,0.104,0.057,0.069,0.084,0.087,0.258,0.249,0.227,0.179,0.852,0.060,0.003,0.052,0.000,0.013,0.020,0.059,0.324,0.676,0.125,0.257,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),171,0.135,0.144,0.123,0.193,0.134,0.094,0.058,0.067,0.052,0.091,0.295,0.258,0.215,0.141,0.875,0.039,0.004,0.046,0.000,0.017,0.019,0.054,0.290,0.710,0.118,0.222,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),188,0.163,0.138,0.135,0.186,0.126,0.089,0.049,0.054,0.060,0.115,0.286,0.266,0.202,0.131,0.862,0.051,0.004,0.035,0.000,0.031,0.017,0.078,0.310,0.690,0.129,0.240,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),157,0.162,0.152,0.123,0.183,0.113,0.094,0.054,0.046,0.073,0.089,0.293,0.262,0.201,0.155,0.876,0.025,0.003,0.065,0.000,0.014,0.017,0.051,0.302,0.698,0.116,0.235,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),129,0.126,0.129,0.115,0.204,0.147,0.106,0.054,0.058,0.061,0.092,0.290,0.262,0.210,0.146,0.884,0.027,0.003,0.045,0.001,0.020,0.020,0.058,0.324,0.676,0.131,0.252,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),125,0.143,0.117,0.119,0.168,0.148,0.093,0.058,0.071,0.083,0.077,0.256,0.246,0.240,0.181,0.832,0.021,0.004,0.109,0.000,0.017,0.017,0.064,0.309,0.691,0.131,0.230,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),77,0.139,0.133,0.139,0.170,0.137,0.095,0.054,0.069,0.064,0.098,0.298,0.259,0.208,0.137,0.826,0.041,0.005,0.085,0.000,0.022,0.021,0.079,0.327,0.673,0.137,0.250,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),69,0.153,0.140,0.135,0.178,0.136,0.085,0.063,0.061,0.049,0.134,0.322,0.237,0.193,0.114,0.807,0.049,0.007,0.067,0.001,0.044,0.025,0.104,0.335,0.665,0.141,0.262,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),12,0.200,0.109,0.124,0.183,0.132,0.068,0.068,0.063,0.053,0.126,0.313,0.256,0.180,0.125,0.752,0.060,0.006,0.087,0.000,0.058,0.037,0.096,0.325,0.675,0.112,0.274,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),15,0.109,0.110,0.108,0.175,0.157,0.153,0.076,0.070,0.042,0.085,0.222,0.269,0.232,0.192,0.893,0.021,0.002,0.053,0.000,0.016,0.015,0.069,0.330,0.670,0.141,0.250,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),4,0.057,0.129,0.075,0.156,0.113,0.106,0.131,0.105,0.128,0.063,0.219,0.238,0.247,0.233,0.881,0.029,0.009,0.068,0.000,0.004,0.009,0.017,0.368,0.632,0.095,0.324,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),24: 11pm (11pm-12am),4,0.101,0.097,0.072,0.155,0.128,0.154,0.087,0.108,0.098,0.075,0.216,0.177,0.209,0.323,0.830,0.018,0.009,0.072,0.000,0.044,0.027,0.058,0.303,0.697,0.111,0.233,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),00: All Day (12am-12am),1876,0.146,0.129,0.135,0.175,0.126,0.099,0.058,0.068,0.064,0.098,0.305,0.252,0.208,0.137,0.866,0.037,0.004,0.053,0.000,0.023,0.017,0.057,0.314,0.686,0.127,0.241,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),05: 4am (4am-5am),26,0.181,0.147,0.183,0.141,0.100,0.101,0.051,0.066,0.030,0.097,0.303,0.298,0.206,0.096,0.822,0.026,0.004,0.095,0.000,0.031,0.022,0.056,0.417,0.583,0.141,0.311,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),06: 5am (5am-6am),35,0.078,0.042,0.068,0.207,0.155,0.138,0.064,0.103,0.145,0.045,0.188,0.195,0.297,0.275,0.771,0.053,0.004,0.154,0.000,0.003,0.015,0.038,0.236,0.764,0.122,0.137,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),07: 6am (6am-7am),136,0.108,0.171,0.125,0.180,0.118,0.120,0.069,0.074,0.035,0.070,0.317,0.229,0.237,0.147,0.885,0.022,0.004,0.050,0.000,0.018,0.021,0.056,0.355,0.645,0.163,0.249,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),09: 8am (8am-9am),90,0.135,0.146,0.137,0.201,0.114,0.099,0.079,0.048,0.041,0.076,0.304,0.225,0.243,0.152,0.893,0.012,0.003,0.050,0.000,0.031,0.011,0.060,0.278,0.722,0.103,0.221,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),10: 9am (9am-10am),35,0.086,0.084,0.101,0.191,0.098,0.109,0.075,0.114,0.142,0.073,0.235,0.204,0.308,0.180,0.593,0.016,0.000,0.355,0.000,0.001,0.035,0.018,0.368,0.632,0.163,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),11: 10am (10am-11am),97,0.133,0.080,0.110,0.186,0.131,0.106,0.084,0.085,0.085,0.072,0.302,0.241,0.243,0.142,0.883,0.012,0.000,0.083,0.000,0.005,0.017,0.023,0.418,0.582,0.116,0.357,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),275,0.178,0.137,0.162,0.202,0.125,0.080,0.049,0.035,0.032,0.133,0.333,0.267,0.194,0.073,0.895,0.023,0.004,0.020,0.001,0.037,0.020,0.071,0.224,0.776,0.095,0.164,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),204,0.122,0.124,0.136,0.170,0.131,0.099,0.049,0.085,0.084,0.099,0.299,0.234,0.230,0.138,0.881,0.020,0.001,0.070,0.000,0.010,0.018,0.042,0.348,0.652,0.144,0.261,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),132,0.153,0.172,0.152,0.195,0.136,0.085,0.026,0.045,0.036,0.145,0.357,0.271,0.138,0.089,0.846,0.070,0.002,0.029,0.000,0.040,0.013,0.080,0.338,0.662,0.150,0.266,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),287,0.192,0.132,0.139,0.156,0.133,0.084,0.047,0.058,0.059,0.134,0.291,0.278,0.166,0.131,0.790,0.105,0.007,0.033,0.002,0.043,0.020,0.096,0.308,0.692,0.132,0.234,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),123,0.176,0.147,0.114,0.162,0.104,0.106,0.057,0.070,0.064,0.090,0.349,0.249,0.196,0.116,0.866,0.011,0.008,0.084,0.000,0.011,0.020,0.030,0.342,0.658,0.150,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),17: 4pm (4pm-5pm),83,0.103,0.083,0.091,0.148,0.159,0.137,0.086,0.100,0.093,0.046,0.245,0.237,0.274,0.198,0.949,0.012,0.001,0.025,0.000,0.006,0.007,0.026,0.409,0.591,0.135,0.342,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),18: 5pm (5pm-6pm),117,0.114,0.107,0.134,0.179,0.134,0.093,0.059,0.089,0.091,0.062,0.282,0.243,0.242,0.171,0.862,0.021,0.002,0.090,0.000,0.011,0.014,0.036,0.289,0.711,0.119,0.220,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),19: 6pm (6pm-7pm),112,0.165,0.136,0.186,0.162,0.112,0.095,0.047,0.053,0.044,0.052,0.365,0.289,0.162,0.132,0.944,0.011,0.003,0.018,0.000,0.007,0.017,0.039,0.269,0.731,0.111,0.206,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),20: 7pm (7pm-8pm),58,0.115,0.124,0.097,0.148,0.108,0.125,0.081,0.099,0.103,0.078,0.223,0.213,0.293,0.193,0.923,0.020,0.002,0.035,0.000,0.012,0.008,0.068,0.284,0.716,0.109,0.235,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),21: 8pm (8pm-9pm),22,0.072,0.081,0.083,0.142,0.107,0.094,0.150,0.109,0.162,0.036,0.231,0.236,0.278,0.219,0.895,0.030,0.000,0.060,0.000,0.012,0.003,0.032,0.385,0.615,0.082,0.352,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),23: 10pm (10pm-11pm),15,0.048,0.162,0.098,0.223,0.149,0.138,0.106,0.075,0.001,0.113,0.332,0.290,0.166,0.099,0.906,0.017,0.022,0.027,0.000,0.009,0.019,0.040,0.238,0.762,0.099,0.170,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),24: 11pm (11pm-12am),30,0.101,0.097,0.072,0.155,0.128,0.154,0.087,0.108,0.098,0.075,0.216,0.177,0.209,0.323,0.830,0.018,0.009,0.072,0.000,0.044,0.027,0.058,0.303,0.697,0.111,0.233,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),1543,0.119,0.129,0.114,0.184,0.134,0.110,0.059,0.073,0.078,0.109,0.270,0.245,0.223,0.153,0.833,0.038,0.005,0.079,0.000,0.025,0.020,0.076,0.317,0.683,0.130,0.241,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),73,0.074,0.114,0.071,0.157,0.127,0.112,0.087,0.087,0.171,0.062,0.222,0.253,0.284,0.179,0.929,0.021,0.002,0.029,0.000,0.011,0.008,0.081,0.376,0.624,0.168,0.269,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),65,0.110,0.082,0.049,0.204,0.137,0.096,0.092,0.120,0.110,0.040,0.173,0.213,0.341,0.233,0.891,0.012,0.001,0.059,0.001,0.018,0.018,0.055,0.195,0.805,0.061,0.148,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),15,0.150,0.105,0.111,0.371,0.077,0.120,0.037,0.000,0.029,0.116,0.337,0.198,0.229,0.120,0.983,0.002,0.000,0.002,0.000,0.008,0.005,0.008,0.346,0.654,0.105,0.313,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),74,0.202,0.210,0.148,0.144,0.122,0.076,0.036,0.035,0.027,0.268,0.229,0.222,0.176,0.105,0.660,0.054,0.007,0.178,0.001,0.072,0.028,0.160,0.265,0.735,0.108,0.200,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),172,0.158,0.129,0.099,0.148,0.156,0.106,0.068,0.054,0.082,0.150,0.287,0.235,0.188,0.140,0.798,0.036,0.004,0.077,0.000,0.059,0.026,0.146,0.365,0.635,0.166,0.275,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),165,0.094,0.133,0.117,0.160,0.167,0.127,0.066,0.064,0.072,0.076,0.299,0.257,0.228,0.140,0.870,0.039,0.010,0.037,0.001,0.017,0.026,0.068,0.330,0.670,0.136,0.245,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),172,0.130,0.129,0.151,0.156,0.135,0.119,0.070,0.064,0.046,0.095,0.292,0.241,0.187,0.185,0.857,0.038,0.004,0.077,0.000,0.001,0.023,0.043,0.265,0.735,0.096,0.206,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),112,0.092,0.117,0.138,0.214,0.112,0.117,0.024,0.098,0.088,0.074,0.353,0.217,0.228,0.128,0.912,0.012,0.002,0.046,0.000,0.012,0.016,0.051,0.260,0.740,0.098,0.186,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),187,0.143,0.149,0.108,0.207,0.130,0.100,0.057,0.063,0.043,0.102,0.259,0.248,0.246,0.145,0.830,0.046,0.002,0.084,0.000,0.023,0.015,0.064,0.281,0.719,0.130,0.205,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),115,0.110,0.080,0.110,0.217,0.094,0.147,0.061,0.061,0.120,0.060,0.217,0.265,0.254,0.204,0.866,0.020,0.001,0.090,0.000,0.006,0.017,0.042,0.368,0.632,0.148,0.286,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),107,0.069,0.137,0.132,0.310,0.115,0.069,0.050,0.059,0.059,0.170,0.325,0.264,0.151,0.090,0.801,0.086,0.003,0.057,0.000,0.030,0.023,0.093,0.333,0.667,0.135,0.263,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),91,0.120,0.122,0.116,0.152,0.164,0.137,0.018,0.098,0.073,0.141,0.235,0.228,0.238,0.158,0.631,0.070,0.023,0.192,0.000,0.056,0.028,0.131,0.346,0.654,0.138,0.254,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),127,0.100,0.156,0.126,0.168,0.140,0.092,0.044,0.105,0.069,0.112,0.321,0.277,0.187,0.103,0.868,0.029,0.002,0.071,0.000,0.015,0.015,0.036,0.371,0.629,0.161,0.281,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),30,0.113,0.109,0.051,0.231,0.133,0.112,0.058,0.073,0.120,0.078,0.317,0.229,0.279,0.097,0.859,0.010,0.000,0.104,0.000,0.008,0.019,0.030,0.387,0.613,0.130,0.335,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),15,0.229,0.130,0.088,0.181,0.134,0.126,0.041,0.057,0.014,0.055,0.179,0.324,0.193,0.249,0.862,0.024,0.000,0.113,0.000,0.000,0.001,0.000,0.217,0.783,0.134,0.179,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),22: 9pm (9pm-10pm),11,0.095,0.089,0.120,0.143,0.117,0.137,0.096,0.149,0.054,0.067,0.197,0.237,0.287,0.212,0.935,0.045,0.000,0.013,0.000,0.000,0.007,0.013,0.229,0.771,0.061,0.186,0.000,0.000,1.000
