Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),11: 10am (10am-11am),121,0.082,0.094,0.125,0.181,0.135,0.110,0.087,0.095,0.091,0.070,0.318,0.247,0.240,0.125,0.791,0.012,0.000,0.167,0.000,0.004,0.026,0.031,0.442,0.558,0.170,0.338,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),265,0.193,0.140,0.146,0.211,0.122,0.078,0.049,0.022,0.039,0.182,0.327,0.244,0.167,0.080,0.864,0.027,0.004,0.026,0.000,0.049,0.030,0.130,0.288,0.712,0.110,0.227,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),303,0.141,0.143,0.163,0.136,0.133,0.099,0.044,0.073,0.068,0.089,0.277,0.236,0.240,0.158,0.872,0.039,0.003,0.046,0.000,0.020,0.020,0.051,0.305,0.695,0.119,0.232,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),124,0.137,0.161,0.139,0.202,0.151,0.088,0.032,0.054,0.036,0.141,0.329,0.270,0.173,0.087,0.864,0.063,0.001,0.016,0.000,0.041,0.015,0.079,0.356,0.644,0.151,0.283,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),273,0.141,0.109,0.121,0.171,0.140,0.101,0.057,0.073,0.087,0.098,0.275,0.254,0.200,0.173,0.782,0.048,0.004,0.104,0.000,0.037,0.025,0.097,0.319,0.681,0.130,0.234,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),216,0.145,0.152,0.121,0.189,0.141,0.098,0.047,0.057,0.050,0.094,0.337,0.284,0.171,0.114,0.847,0.101,0.006,0.012,0.000,0.014,0.020,0.048,0.308,0.692,0.129,0.237,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),17: 4pm (4pm-5pm),96,0.108,0.075,0.095,0.154,0.132,0.123,0.108,0.078,0.127,0.055,0.231,0.249,0.268,0.197,0.910,0.011,0.002,0.051,0.000,0.013,0.013,0.037,0.420,0.580,0.155,0.334,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),18: 5pm (5pm-6pm),102,0.119,0.105,0.119,0.210,0.132,0.100,0.075,0.050,0.090,0.072,0.260,0.285,0.220,0.163,0.962,0.003,0.004,0.009,0.000,0.010,0.012,0.107,0.277,0.723,0.100,0.221,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),19: 6pm (6pm-7pm),129,0.156,0.140,0.179,0.141,0.092,0.080,0.042,0.063,0.107,0.056,0.315,0.248,0.193,0.188,0.864,0.028,0.004,0.064,0.000,0.023,0.017,0.055,0.268,0.732,0.116,0.199,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),20: 7pm (7pm-8pm),30,0.063,0.065,0.076,0.071,0.106,0.181,0.117,0.131,0.190,0.013,0.138,0.201,0.326,0.322,0.904,0.022,0.000,0.072,0.000,0.000,0.002,0.005,0.375,0.625,0.118,0.306,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),21: 8pm (8pm-9pm),54,0.138,0.117,0.098,0.126,0.121,0.094,0.103,0.089,0.114,0.072,0.239,0.244,0.267,0.178,0.882,0.032,0.002,0.059,0.000,0.015,0.010,0.071,0.330,0.670,0.095,0.282,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),24: 11pm (11pm-12am),45,0.089,0.113,0.078,0.170,0.133,0.150,0.092,0.100,0.075,0.084,0.244,0.204,0.199,0.269,0.849,0.018,0.012,0.061,0.000,0.035,0.025,0.054,0.288,0.712,0.108,0.218,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),1711,0.128,0.123,0.108,0.184,0.133,0.105,0.066,0.072,0.081,0.112,0.267,0.234,0.221,0.166,0.827,0.035,0.005,0.082,0.000,0.028,0.023,0.088,0.327,0.673,0.134,0.251,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),73,0.092,0.144,0.096,0.179,0.119,0.089,0.090,0.062,0.129,0.058,0.205,0.249,0.299,0.189,0.936,0.017,0.001,0.035,0.000,0.003,0.008,0.024,0.351,0.649,0.154,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),136,0.120,0.106,0.059,0.207,0.142,0.093,0.075,0.090,0.108,0.100,0.259,0.218,0.239,0.184,0.823,0.033,0.004,0.051,0.000,0.060,0.029,0.221,0.327,0.673,0.145,0.251,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),21,0.236,0.147,0.137,0.212,0.076,0.071,0.048,0.011,0.062,0.152,0.225,0.232,0.195,0.196,0.818,0.086,0.002,0.013,0.000,0.041,0.040,0.153,0.181,0.819,0.082,0.142,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),08: 7am (7am-8am),40,0.176,0.171,0.101,0.142,0.048,0.090,0.085,0.130,0.057,0.119,0.188,0.263,0.213,0.217,0.723,0.017,0.002,0.232,0.000,0.013,0.013,0.068,0.186,0.814,0.082,0.139,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),35,0.232,0.177,0.150,0.179,0.081,0.073,0.041,0.043,0.024,0.118,0.306,0.298,0.164,0.114,0.947,0.031,0.006,0.004,0.001,0.001,0.010,0.120,0.283,0.717,0.099,0.252,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),80,0.164,0.131,0.100,0.126,0.164,0.095,0.085,0.045,0.090,0.194,0.262,0.224,0.174,0.146,0.735,0.025,0.004,0.094,0.001,0.100,0.041,0.248,0.373,0.627,0.179,0.280,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),171,0.130,0.142,0.121,0.159,0.148,0.116,0.052,0.065,0.067,0.152,0.249,0.235,0.221,0.143,0.776,0.045,0.004,0.107,0.000,0.044,0.024,0.100,0.334,0.666,0.146,0.244,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),309,0.134,0.123,0.122,0.158,0.141,0.110,0.075,0.074,0.063,0.093,0.315,0.243,0.197,0.152,0.857,0.025,0.006,0.074,0.001,0.018,0.019,0.058,0.324,0.676,0.121,0.255,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),152,0.118,0.104,0.099,0.153,0.125,0.138,0.096,0.083,0.084,0.099,0.274,0.208,0.244,0.175,0.830,0.033,0.010,0.091,0.000,0.010,0.026,0.063,0.311,0.689,0.118,0.242,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),208,0.131,0.145,0.129,0.224,0.124,0.085,0.038,0.065,0.059,0.125,0.286,0.241,0.221,0.127,0.822,0.048,0.002,0.085,0.000,0.025,0.018,0.066,0.308,0.692,0.136,0.227,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),71,0.174,0.096,0.086,0.195,0.102,0.119,0.080,0.050,0.098,0.063,0.244,0.209,0.269,0.215,0.851,0.016,0.000,0.114,0.000,0.007,0.012,0.039,0.304,0.696,0.138,0.218,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),177,0.088,0.111,0.126,0.270,0.131,0.109,0.053,0.059,0.053,0.121,0.280,0.260,0.196,0.143,0.824,0.066,0.002,0.060,0.000,0.026,0.022,0.085,0.334,0.666,0.136,0.262,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),50,0.158,0.114,0.159,0.247,0.189,0.056,0.012,0.027,0.038,0.167,0.335,0.246,0.135,0.117,0.846,0.000,0.036,0.027,0.000,0.016,0.075,0.019,0.307,0.693,0.107,0.267,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),71,0.099,0.073,0.083,0.177,0.128,0.150,0.030,0.135,0.125,0.108,0.201,0.168,0.274,0.249,0.754,0.022,0.000,0.189,0.000,0.012,0.023,0.050,0.291,0.709,0.139,0.181,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),65,0.121,0.146,0.105,0.120,0.133,0.084,0.071,0.103,0.117,0.088,0.262,0.275,0.200,0.175,0.884,0.033,0.004,0.037,0.000,0.019,0.023,0.041,0.429,0.571,0.185,0.348,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),41,0.079,0.116,0.069,0.168,0.142,0.101,0.081,0.110,0.134,0.062,0.244,0.228,0.240,0.226,0.873,0.018,0.001,0.103,0.000,0.000,0.005,0.013,0.393,0.607,0.091,0.359,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),23: 10pm (10pm-11pm),11,0.063,0.105,0.059,0.105,0.087,0.082,0.150,0.127,0.222,0.026,0.135,0.199,0.307,0.333,0.862,0.037,0.000,0.099,0.000,0.000,0.002,0.001,0.463,0.537,0.092,0.436,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),00: All Day (12am-12am),1641,0.134,0.115,0.114,0.162,0.144,0.093,0.068,0.069,0.101,0.096,0.256,0.245,0.228,0.175,0.833,0.049,0.004,0.063,0.000,0.028,0.023,0.081,0.333,0.667,0.136,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),04: 3am (3am-4am),11,0.153,0.205,0.054,0.191,0.050,0.125,0.048,0.041,0.133,0.044,0.279,0.150,0.216,0.311,0.877,0.034,0.000,0.043,0.000,0.022,0.024,0.048,0.142,0.858,0.044,0.123,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),05: 4am (4am-5am),67,0.090,0.126,0.133,0.166,0.146,0.092,0.080,0.094,0.073,0.088,0.226,0.243,0.235,0.208,0.681,0.117,0.001,0.151,0.000,0.030,0.020,0.101,0.308,0.692,0.121,0.238,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),06: 5am (5am-6am),246,0.105,0.088,0.100,0.124,0.130,0.108,0.079,0.109,0.157,0.064,0.238,0.229,0.255,0.214,0.802,0.047,0.001,0.127,0.000,0.009,0.014,0.028,0.366,0.634,0.099,0.309,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),07: 6am (6am-7am),96,0.091,0.148,0.160,0.186,0.200,0.060,0.021,0.059,0.075,0.086,0.224,0.266,0.239,0.185,0.861,0.061,0.000,0.042,0.000,0.009,0.027,0.033,0.263,0.737,0.101,0.202,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),09: 8am (8am-9am),15,0.187,0.097,0.026,0.180,0.179,0.040,0.186,0.052,0.053,0.061,0.293,0.297,0.213,0.136,0.979,0.000,0.000,0.016,0.000,0.000,0.005,0.016,0.326,0.674,0.128,0.240,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),10: 9am (9am-10am),46,0.149,0.111,0.148,0.186,0.189,0.096,0.047,0.046,0.028,0.072,0.285,0.307,0.236,0.100,0.977,0.006,0.001,0.006,0.000,0.003,0.007,0.013,0.213,0.787,0.122,0.146,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),11: 10am (10am-11am),90,0.211,0.112,0.098,0.191,0.101,0.094,0.051,0.037,0.105,0.178,0.209,0.202,0.229,0.182,0.736,0.083,0.003,0.073,0.000,0.068,0.037,0.225,0.239,0.761,0.113,0.169,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),12: 11am (11am-12noon),87,0.121,0.123,0.065,0.154,0.131,0.115,0.069,0.074,0.148,0.080,0.251,0.246,0.244,0.179,0.937,0.019,0.005,0.022,0.000,0.010,0.007,0.035,0.356,0.644,0.150,0.265,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),288,0.109,0.127,0.090,0.169,0.160,0.106,0.059,0.054,0.126,0.065,0.247,0.237,0.255,0.196,0.938,0.010,0.001,0.032,0.000,0.005,0.014,0.028,0.364,0.636,0.141,0.298,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),113,0.123,0.112,0.101,0.182,0.121,0.099,0.084,0.060,0.118,0.077,0.240,0.249,0.254,0.180,0.913,0.053,0.007,0.008,0.001,0.003,0.015,0.028,0.271,0.729,0.106,0.214,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),48,0.061,0.077,0.057,0.104,0.151,0.107,0.116,0.146,0.181,0.061,0.232,0.175,0.280,0.252,0.938,0.009,0.000,0.030,0.000,0.004,0.019,0.038,0.371,0.629,0.174,0.296,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),81,0.180,0.157,0.177,0.189,0.126,0.073,0.037,0.022,0.039,0.125,0.296,0.313,0.174,0.092,0.903,0.062,0.002,0.013,0.000,0.014,0.006,0.029,0.367,0.633,0.153,0.262,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),107,0.106,0.125,0.113,0.161,0.137,0.100,0.105,0.074,0.079,0.060,0.276,0.248,0.221,0.195,0.929,0.006,0.005,0.021,0.001,0.017,0.021,0.054,0.295,0.705,0.118,0.225,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),46,0.121,0.063,0.087,0.121,0.132,0.080,0.074,0.090,0.232,0.044,0.156,0.216,0.314,0.270,0.850,0.018,0.003,0.079,0.000,0.024,0.026,0.076,0.339,0.661,0.202,0.202,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),103,0.161,0.147,0.148,0.174,0.121,0.068,0.076,0.065,0.040,0.143,0.286,0.292,0.166,0.113,0.737,0.122,0.007,0.053,0.000,0.060,0.021,0.248,0.352,0.648,0.169,0.267,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),62,0.134,0.103,0.147,0.166,0.192,0.125,0.067,0.038,0.028,0.080,0.360,0.244,0.197,0.119,0.866,0.021,0.002,0.069,0.000,0.031,0.011,0.060,0.366,0.634,0.194,0.277,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),66,0.250,0.064,0.191,0.181,0.167,0.038,0.050,0.053,0.006,0.261,0.354,0.230,0.118,0.037,0.438,0.131,0.020,0.145,0.000,0.159,0.107,0.254,0.419,0.581,0.147,0.360,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),68,0.178,0.141,0.089,0.196,0.166,0.086,0.038,0.065,0.041,0.079,0.264,0.296,0.204,0.157,0.871,0.036,0.004,0.043,0.000,0.013,0.033,0.047,0.313,0.687,0.168,0.231,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),00: All Day (12am-12am),2191,0.141,0.123,0.123,0.181,0.137,0.099,0.060,0.062,0.074,0.092,0.265,0.257,0.224,0.162,0.859,0.044,0.002,0.049,0.001,0.025,0.020,0.086,0.332,0.668,0.134,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),05: 4am (4am-5am),90,0.131,0.101,0.087,0.146,0.116,0.089,0.107,0.056,0.167,0.032,0.154,0.223,0.353,0.238,0.900,0.038,0.001,0.036,0.000,0.010,0.015,0.041,0.375,0.625,0.143,0.283,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),06: 5am (5am-6am),193,0.178,0.148,0.124,0.188,0.118,0.105,0.043,0.048,0.048,0.169,0.298,0.260,0.168,0.105,0.848,0.038,0.005,0.031,0.000,0.052,0.026,0.201,0.345,0.655,0.160,0.262,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),07: 6am (6am-7am),110,0.131,0.106,0.093,0.186,0.133,0.150,0.088,0.045,0.068,0.064,0.246,0.210,0.241,0.239,0.823,0.049,0.003,0.063,0.000,0.038,0.024,0.119,0.271,0.729,0.127,0.191,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),08: 7am (7am-8am),20,0.045,0.080,0.214,0.152,0.210,0.148,0.036,0.091,0.024,0.048,0.143,0.250,0.380,0.179,0.973,0.009,0.000,0.018,0.000,0.000,0.000,0.006,0.440,0.560,0.123,0.436,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),10: 9am (9am-10am),55,0.153,0.117,0.103,0.134,0.158,0.157,0.051,0.113,0.014,0.053,0.326,0.231,0.276,0.114,0.970,0.002,0.000,0.008,0.000,0.017,0.003,0.050,0.289,0.711,0.095,0.246,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),11: 10am (10am-11am),112,0.133,0.137,0.132,0.234,0.103,0.119,0.071,0.048,0.023,0.108,0.271,0.233,0.256,0.132,0.772,0.072,0.004,0.101,0.000,0.024,0.027,0.188,0.334,0.666,0.136,0.264,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),12: 11am (11am-12noon),234,0.095,0.103,0.117,0.182,0.151,0.120,0.078,0.081,0.073,0.060,0.254,0.295,0.223,0.168,0.876,0.049,0.006,0.041,0.000,0.009,0.019,0.043,0.339,0.661,0.114,0.273,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),177,0.096,0.078,0.135,0.180,0.157,0.112,0.060,0.094,0.088,0.054,0.211,0.284,0.249,0.202,0.899,0.035,0.002,0.040,0.000,0.008,0.016,0.048,0.415,0.585,0.153,0.346,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),258,0.134,0.124,0.121,0.189,0.150,0.108,0.055,0.069,0.050,0.087,0.280,0.268,0.222,0.143,0.912,0.017,0.001,0.036,0.001,0.018,0.015,0.051,0.332,0.668,0.126,0.263,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),154,0.196,0.127,0.124,0.190,0.154,0.049,0.051,0.035,0.074,0.121,0.263,0.247,0.201,0.168,0.690,0.200,0.001,0.052,0.000,0.031,0.026,0.067,0.313,0.687,0.116,0.262,0.000,0.000,1.000
