Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),09: 8am (8am-9am),10,0.030,0.255,0.163,0.196,0.175,0.115,0.008,0.002,0.056,0.076,0.341,0.323,0.166,0.094,0.865,0.018,0.000,0.049,0.000,0.039,0.029,0.085,0.308,0.692,0.115,0.267,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),10: 9am (9am-10am),104,0.090,0.113,0.118,0.157,0.148,0.099,0.076,0.106,0.093,0.076,0.216,0.259,0.269,0.180,0.794,0.036,0.002,0.119,0.000,0.029,0.020,0.099,0.366,0.634,0.158,0.291,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),11: 10am (10am-11am),225,0.141,0.134,0.148,0.199,0.127,0.083,0.050,0.062,0.056,0.124,0.296,0.267,0.193,0.120,0.868,0.048,0.004,0.021,0.000,0.038,0.021,0.090,0.352,0.648,0.158,0.254,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),12: 11am (11am-12noon),225,0.111,0.100,0.120,0.190,0.154,0.113,0.058,0.089,0.065,0.076,0.274,0.257,0.222,0.171,0.876,0.026,0.002,0.067,0.000,0.009,0.020,0.046,0.352,0.648,0.143,0.287,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),13: 12pm (12noon-1pm),240,0.135,0.131,0.136,0.175,0.156,0.100,0.069,0.060,0.038,0.092,0.291,0.275,0.208,0.134,0.926,0.015,0.001,0.040,0.000,0.010,0.008,0.032,0.285,0.715,0.103,0.226,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),14: 1pm (1pm-2pm),85,0.165,0.167,0.147,0.191,0.146,0.087,0.047,0.032,0.018,0.101,0.290,0.285,0.215,0.109,0.945,0.015,0.001,0.020,0.001,0.006,0.012,0.017,0.267,0.733,0.114,0.190,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),15: 2pm (2pm-3pm),176,0.177,0.155,0.136,0.181,0.137,0.080,0.052,0.034,0.048,0.113,0.320,0.282,0.180,0.105,0.855,0.059,0.005,0.033,0.000,0.028,0.020,0.087,0.291,0.709,0.114,0.220,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),16: 3pm (3pm-4pm),179,0.125,0.135,0.121,0.191,0.159,0.081,0.057,0.064,0.067,0.116,0.282,0.251,0.210,0.141,0.913,0.020,0.013,0.021,0.000,0.018,0.015,0.063,0.323,0.677,0.122,0.263,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),17: 4pm (4pm-5pm),93,0.174,0.110,0.112,0.184,0.114,0.123,0.091,0.042,0.050,0.136,0.272,0.272,0.205,0.115,0.850,0.055,0.024,0.016,0.000,0.039,0.016,0.133,0.322,0.678,0.149,0.226,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),18: 5pm (5pm-6pm),55,0.058,0.102,0.118,0.236,0.144,0.142,0.070,0.085,0.045,0.045,0.240,0.288,0.276,0.151,0.842,0.090,0.001,0.037,0.000,0.013,0.017,0.060,0.218,0.782,0.100,0.148,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),19: 6pm (6pm-7pm),27,0.073,0.091,0.114,0.181,0.107,0.144,0.148,0.081,0.061,0.102,0.291,0.292,0.204,0.111,0.678,0.118,0.002,0.148,0.000,0.016,0.038,0.051,0.409,0.591,0.086,0.377,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,5: Friday (F-F),20: 7pm (7pm-8pm),37,0.104,0.094,0.108,0.208,0.166,0.089,0.083,0.088,0.060,0.097,0.252,0.249,0.237,0.165,0.929,0.018,0.000,0.032,0.000,0.006,0.015,0.017,0.276,0.724,0.158,0.201,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),1462,0.141,0.136,0.119,0.184,0.135,0.099,0.057,0.061,0.068,0.093,0.272,0.247,0.225,0.163,0.840,0.033,0.005,0.082,0.000,0.021,0.019,0.072,0.318,0.682,0.134,0.242,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),04: 3am (3am-4am),8,0.245,0.225,0.095,0.141,0.161,0.046,0.028,0.000,0.059,0.174,0.171,0.431,0.062,0.162,0.921,0.058,0.000,0.004,0.000,0.000,0.017,0.015,0.412,0.588,0.240,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),8,0.130,0.072,0.096,0.098,0.151,0.022,0.100,0.151,0.180,0.021,0.117,0.121,0.288,0.453,0.827,0.082,0.000,0.033,0.003,0.042,0.013,0.090,0.061,0.939,0.031,0.046,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),26,0.195,0.124,0.118,0.223,0.127,0.094,0.043,0.045,0.031,0.087,0.324,0.299,0.186,0.104,0.941,0.020,0.001,0.015,0.000,0.004,0.019,0.007,0.298,0.702,0.107,0.216,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),64,0.099,0.108,0.141,0.216,0.149,0.107,0.042,0.073,0.065,0.072,0.332,0.242,0.189,0.165,0.946,0.002,0.004,0.022,0.000,0.003,0.023,0.040,0.371,0.629,0.128,0.292,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),09: 8am (8am-9am),52,0.122,0.159,0.148,0.207,0.123,0.106,0.039,0.039,0.057,0.097,0.286,0.229,0.245,0.143,0.865,0.033,0.001,0.062,0.000,0.018,0.021,0.029,0.245,0.755,0.070,0.215,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),107,0.092,0.109,0.121,0.163,0.122,0.112,0.074,0.079,0.128,0.074,0.215,0.258,0.257,0.196,0.916,0.019,0.008,0.037,0.000,0.009,0.011,0.040,0.319,0.681,0.132,0.241,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),98,0.130,0.150,0.144,0.179,0.113,0.086,0.058,0.068,0.072,0.110,0.258,0.183,0.243,0.206,0.639,0.053,0.009,0.202,0.001,0.055,0.041,0.123,0.314,0.686,0.146,0.226,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),173,0.131,0.144,0.126,0.192,0.132,0.102,0.054,0.052,0.067,0.086,0.269,0.257,0.248,0.140,0.894,0.027,0.003,0.051,0.000,0.013,0.012,0.110,0.328,0.672,0.129,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),254,0.155,0.134,0.111,0.174,0.145,0.104,0.062,0.058,0.057,0.072,0.270,0.261,0.245,0.152,0.881,0.032,0.004,0.054,0.000,0.011,0.018,0.053,0.311,0.689,0.141,0.225,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),121,0.119,0.134,0.114,0.190,0.155,0.103,0.063,0.076,0.046,0.082,0.288,0.268,0.235,0.127,0.957,0.011,0.004,0.019,0.000,0.003,0.006,0.017,0.354,0.646,0.128,0.290,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),153,0.120,0.136,0.109,0.171,0.142,0.113,0.058,0.065,0.086,0.066,0.248,0.255,0.238,0.193,0.896,0.016,0.004,0.057,0.000,0.011,0.016,0.050,0.309,0.691,0.127,0.235,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),98,0.099,0.151,0.148,0.225,0.172,0.083,0.036,0.050,0.036,0.107,0.336,0.281,0.173,0.103,0.814,0.024,0.005,0.128,0.000,0.007,0.022,0.042,0.398,0.602,0.175,0.314,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),105,0.110,0.105,0.078,0.194,0.124,0.120,0.075,0.081,0.113,0.049,0.210,0.237,0.263,0.241,0.772,0.041,0.003,0.135,0.000,0.025,0.024,0.084,0.341,0.659,0.154,0.251,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),89,0.228,0.127,0.129,0.188,0.120,0.083,0.036,0.044,0.045,0.161,0.299,0.252,0.176,0.112,0.702,0.097,0.006,0.129,0.000,0.046,0.020,0.130,0.308,0.692,0.130,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),36,0.108,0.201,0.072,0.162,0.128,0.084,0.106,0.060,0.079,0.194,0.383,0.177,0.122,0.124,0.662,0.020,0.003,0.250,0.004,0.037,0.024,0.094,0.325,0.675,0.139,0.245,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),36,0.278,0.140,0.145,0.152,0.096,0.068,0.034,0.048,0.039,0.138,0.247,0.221,0.194,0.200,0.816,0.042,0.003,0.064,0.001,0.059,0.015,0.123,0.151,0.849,0.083,0.095,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),21: 8pm (8pm-9pm),18,0.283,0.208,0.148,0.160,0.064,0.097,0.018,0.016,0.006,0.154,0.299,0.188,0.226,0.133,0.722,0.070,0.006,0.047,0.000,0.126,0.029,0.240,0.190,0.810,0.089,0.133,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),8,0.218,0.123,0.098,0.198,0.136,0.142,0.005,0.069,0.011,0.057,0.170,0.368,0.154,0.251,0.850,0.001,0.000,0.088,0.000,0.021,0.040,0.038,0.275,0.725,0.096,0.241,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,6: Saturday (Sa-Sa),23: 10pm (10pm-11pm),8,0.276,0.163,0.109,0.197,0.068,0.069,0.027,0.030,0.061,0.214,0.366,0.193,0.150,0.077,0.847,0.044,0.004,0.029,0.000,0.062,0.014,0.193,0.343,0.657,0.182,0.252,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),00: All Day (12am-12am),1764,0.146,0.139,0.123,0.176,0.142,0.099,0.062,0.057,0.056,0.091,0.278,0.265,0.216,0.150,0.850,0.043,0.004,0.063,0.001,0.019,0.020,0.062,0.316,0.684,0.132,0.245,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),05: 4am (4am-5am),9,0.162,0.094,0.145,0.256,0.132,0.172,0.005,0.011,0.023,0.273,0.465,0.141,0.069,0.052,0.813,0.055,0.000,0.033,0.000,0.083,0.016,0.196,0.493,0.507,0.236,0.354,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),06: 5am (5am-6am),63,0.154,0.107,0.118,0.177,0.166,0.099,0.056,0.071,0.052,0.079,0.263,0.248,0.229,0.181,0.831,0.044,0.004,0.079,0.000,0.020,0.022,0.054,0.381,0.619,0.139,0.310,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),07: 6am (6am-7am),98,0.136,0.162,0.129,0.169,0.144,0.117,0.054,0.053,0.036,0.152,0.297,0.236,0.200,0.115,0.787,0.030,0.001,0.166,0.000,0.007,0.009,0.039,0.271,0.729,0.103,0.218,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),08: 7am (7am-8am),18,0.222,0.155,0.128,0.203,0.116,0.059,0.054,0.051,0.012,0.182,0.292,0.235,0.202,0.089,0.646,0.294,0.004,0.010,0.000,0.004,0.042,0.075,0.201,0.799,0.068,0.174,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),09: 8am (8am-9am),8,0.181,0.241,0.196,0.185,0.139,0.030,0.011,0.012,0.005,0.052,0.439,0.289,0.157,0.063,0.996,0.000,0.000,0.000,0.000,0.001,0.003,0.003,0.223,0.777,0.054,0.173,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),10: 9am (9am-10am),141,0.137,0.100,0.133,0.166,0.142,0.112,0.077,0.055,0.078,0.089,0.253,0.258,0.239,0.161,0.843,0.041,0.001,0.053,0.000,0.032,0.030,0.119,0.317,0.683,0.150,0.236,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),11: 10am (10am-11am),149,0.141,0.117,0.103,0.178,0.162,0.108,0.067,0.062,0.062,0.063,0.242,0.313,0.231,0.151,0.812,0.086,0.005,0.049,0.001,0.024,0.023,0.091,0.341,0.659,0.148,0.267,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),12: 11am (11am-12noon),246,0.151,0.132,0.112,0.149,0.138,0.111,0.062,0.060,0.085,0.100,0.252,0.273,0.216,0.159,0.859,0.038,0.006,0.053,0.001,0.019,0.024,0.063,0.361,0.639,0.141,0.285,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),159,0.124,0.137,0.110,0.198,0.137,0.107,0.070,0.045,0.072,0.087,0.269,0.284,0.190,0.170,0.843,0.064,0.002,0.056,0.000,0.016,0.019,0.047,0.351,0.649,0.157,0.258,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),213,0.144,0.134,0.125,0.180,0.162,0.098,0.052,0.055,0.050,0.073,0.291,0.266,0.214,0.156,0.882,0.034,0.009,0.045,0.000,0.015,0.015,0.057,0.254,0.746,0.109,0.192,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),207,0.135,0.174,0.123,0.202,0.131,0.075,0.054,0.064,0.042,0.073,0.293,0.283,0.218,0.133,0.888,0.028,0.002,0.050,0.000,0.016,0.016,0.043,0.348,0.652,0.148,0.273,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),109,0.176,0.107,0.113,0.195,0.148,0.097,0.068,0.040,0.056,0.090,0.301,0.249,0.214,0.146,0.878,0.018,0.008,0.051,0.001,0.018,0.026,0.044,0.286,0.714,0.097,0.230,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),155,0.172,0.171,0.120,0.168,0.131,0.083,0.059,0.062,0.034,0.093,0.285,0.267,0.195,0.160,0.863,0.050,0.005,0.032,0.002,0.024,0.024,0.081,0.291,0.709,0.131,0.219,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),93,0.142,0.140,0.174,0.189,0.128,0.074,0.051,0.056,0.046,0.150,0.300,0.217,0.219,0.114,0.767,0.015,0.002,0.188,0.002,0.012,0.014,0.042,0.294,0.706,0.132,0.230,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),62,0.160,0.214,0.149,0.128,0.093,0.087,0.072,0.044,0.053,0.078,0.276,0.243,0.244,0.159,0.865,0.059,0.004,0.029,0.000,0.024,0.019,0.077,0.303,0.697,0.108,0.232,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),18,0.057,0.080,0.084,0.120,0.160,0.180,0.107,0.146,0.066,0.042,0.241,0.246,0.277,0.194,0.847,0.101,0.001,0.019,0.000,0.004,0.028,0.029,0.329,0.671,0.128,0.272,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),17,0.086,0.109,0.112,0.185,0.125,0.134,0.120,0.111,0.018,0.065,0.276,0.268,0.265,0.126,0.966,0.000,0.001,0.017,0.000,0.011,0.005,0.007,0.323,0.677,0.140,0.239,0.000,0.000,1.000
