Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),1772,1239,1239,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),01: 12am (12am-1am),1,5027,5027,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),5,1218,1218,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),60,910,910,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),39,1263,1263,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),53,1250,1250,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),9,863,863,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),34,1400,1400,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),133,1337,1337,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),174,1244,1244,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),217,1158,1158,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),222,1527,1527,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),161,1232,1232,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),184,1176,1176,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),135,1165,1165,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),114,1169,1169,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),86,1011,1011,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),78,1169,1169,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),47,1420,1420,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),12,1199,1199,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),8,1179,1179,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),2,856,856,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),00: All Day (12am-12am),1995,1230,1230,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),05: 4am (4am-5am),94,641,641,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),06: 5am (5am-6am),38,820,820,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),07: 6am (6am-7am),90,391,391,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),08: 7am (7am-8am),8,1213,1213,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),09: 8am (8am-9am),51,1463,1463,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),10: 9am (9am-10am),138,801,801,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),11: 10am (10am-11am),245,1384,1384,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),206,925,925,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),250,1923,1923,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),173,1298,1298,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),141,1311,1311,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),165,992,992,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),17: 4pm (4pm-5pm),126,1399,1399,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),18: 5pm (5pm-6pm),87,1008,1008,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),19: 6pm (6pm-7pm),61,1026,1026,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),20: 7pm (7pm-8pm),86,1826,1826,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),21: 8pm (8pm-9pm),18,2362,2362,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),22: 9pm (9pm-10pm),9,1260,1260,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),23: 10pm (10pm-11pm),9,1417,1417,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),1824,1234,1234,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),04: 3am (3am-4am),17,753,753,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),61,407,407,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),45,1544,1544,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),36,2017,2017,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),63,1327,1327,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),126,1511,1511,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),193,1305,1305,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),254,1219,1219,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),215,1822,1822,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),131,1504,1504,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),181,967,967,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),166,803,803,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),124,1180,1180,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),80,867,867,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),60,1125,1125,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),59,746,746,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),17,1330,1330,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),00: All Day (12am-12am),1653,1289,1289,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),04: 3am (3am-4am),9,3295,3295,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),05: 4am (4am-5am),52,1157,1157,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),06: 5am (5am-6am),26,762,762,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),07: 6am (6am-7am),27,1683,1683,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),09: 8am (8am-9am),8,3766,3766,1.1,1.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),10: 9am (9am-10am),159,1559,1559,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),11: 10am (10am-11am),176,1595,1595,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),12: 11am (11am-12noon),201,1327,1327,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),222,1423,1423,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),191,1169,1169,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),238,1028,1028,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),124,1053,1053,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),89,915,915,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),61,1024,1024,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),43,1528,1528,0.9,0.9
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),17,458,458,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),8,1801,1801,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),00: All Day (12am-12am),1507,1388,1388,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),05: 4am (4am-5am),61,1684,1684,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),06: 5am (5am-6am),46,1332,1332,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),07: 6am (6am-7am),27,1210,1210,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),09: 8am (8am-9am),9,715,715,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),10: 9am (9am-10am),105,1656,1656,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),11: 10am (10am-11am),153,1098,1098,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),12: 11am (11am-12noon),247,1306,1306,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),136,1467,1467,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),117,1306,1306,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),124,1899,1899,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),54,2498,2498,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),96,1276,1276,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),100,1225,1225,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),127,1036,1036,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),70,1191,1191,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),9,667,667,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,4: Thursday (Th-Th),22: 9pm (9pm-10pm),27,1293,1293,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),00: All Day (12am-12am),1764,1158,1158,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),05: 4am (4am-5am),36,158,158,0.1,0.1
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,5: Friday (F-F),06: 5am (5am-6am),48,646,646,0.2,0.2
